"No.","Time","Source","Direction","Direction","bRequest","wValue","bAlternateSetting","wInterface","wLength","CONTROL response data","Info"
"1","0.000000","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"2","0.000016","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"3","0.000052","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"4","0.000215","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"5","0.000451","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"6","0.000485","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"7","0.000546","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"8","0.000700","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"9","0.003780","16.7.0","Host-to-device","OUT","3","0x0008","","","4","","URB_CONTROL out (submitted)"
"10","0.003933","16.7.0","","OUT","","","","","","40007701","URB_CONTROL out (completed)"
"11","0.004009","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"12","0.004181","16.7.0","","IN","","","","","","00770101","URB_CONTROL in (completed)"
"13","0.205277","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"14","0.205450","16.7.0","","IN","","","","","","00770100","URB_CONTROL in (completed)"
"15","0.226795","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"16","0.226815","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"17","0.226838","16.7.0","Host-to-device","OUT","SET INTERFACE","","3","2","0","","SET INTERFACE Request"
"18","0.226859","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"19","0.226899","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"20","0.227073","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"21","0.227102","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"22","0.227123","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"23","0.227144","16.7.0","Host-to-device","OUT","SET INTERFACE","","3","1","0","","SET INTERFACE Request"
"24","0.227165","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"25","0.227196","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"26","0.227391","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
